clip_id,syllable,filename,freq_rank,heard,status
v00133,bích,v00133.mp3,1543,từbích,mismatch
v00134,bím,v00134.mp3,5465,biến,mismatch
v00135,bính,v00135.mp3,2287,bính,ok
v00136,bíp,v00136.mp3,5714,từbiết,mismatch
v00137,bít,v00137.mp3,3350,từbiết,mismatch
v00138,bíu,v00138.mp3,5959,bướp,mismatch
v00139,bò,v00139.mp3,1130,từbo,mismatch
v00140,bòn,v00140.mp3,4123,từbọn,mismatch
v00141,bòng,v00141.mp3,4902,từbóng,mismatch
v00142,bó,v00142.mp3,1360,từbỏ,mismatch
v00143,bóc,v00143.mp3,2232,pog,mismatch
v00144,bói,v00144.mp3,3483,bói,ok
v00145,bón,v00145.mp3,1820,từbóng,mismatch
v00146,bóng,v00146.mp3,926,bóng,ok
v00147,bóp,v00147.mp3,2248,từbất,mismatch
v00148,bót,v00148.mp3,6376,từbót,mismatch
v00149,bô,v00149.mp3,3371,bộ,tone_mismatch
v00150,bôi,v00150.mp3,2192,bôi,ok
v00151,bôm,v00151.mp3,5769,bơm,mismatch
v00152,bôn,v00152.mp3,3757,từbôn,mismatch
v00153,bông,v00153.mp3,1528,từbông,mismatch
v00154,bõ,v00154.mp3,4597,bỏ,tone_mismatch
v00155,bõm,v00155.mp3,4428,bởm,mismatch
v00156,bù,v00156.mp3,1410,từbồ,mismatch
v00157,bùa,v00157.mp3,3341,tửbùa,mismatch
v00158,bùi,v00158.mp3,1136,tửbùi,mismatch
v00159,bùm,v00159.mp3,5455,từbụng,mismatch
v00160,bùn,v00160.mp3,2180,từbùn,mismatch
v00161,bùng,v00161.mp3,1781,từbụng,mismatch
v00162,bú,v00162.mp3,2255,bố,mismatch
v00163,búa,v00163.mp3,2643,búa,ok
v00164,búc,v00164.mp3,5009,từbúc,mismatch
v00165,búi,v00165.mp3,3789,từbúi,mismatch
v00166,bún,v00166.mp3,1900,từbúng,mismatch
v00167,búng,v00167.mp3,4355,từbốn,mismatch
v00168,búp,v00168.mp3,2848,túc,mismatch
v00169,bút,v00169.mp3,1817,từbút,mismatch
v00170,băm,v00170.mp3,2891,băm,ok
v00171,băn,v00171.mp3,1862,bằng,mismatch
v00172,băng,v00172.mp3,1075,băng,ok
v00173,bĩ,v00173.mp3,4941,từbí,mismatch
v00174,bĩnh,v00174.mp3,4337,từbĩnh,mismatch
v00175,bĩu,v00175.mp3,5101,từbướu,mismatch
v00176,bơ,v00176.mp3,2263,từbơ,mismatch
v00177,bơi,v00177.mp3,1488,tửbơi,mismatch
v00178,bơm,v00178.mp3,1725,bơm,ok
v00179,bơn,v00179.mp3,5129,vâng,mismatch
v00180,bư,v00180.mp3,6611,hờbơi,mismatch
v00181,bưa,v00181.mp3,6771,mưa,mismatch
v00182,bưng,v00182.mp3,3156,từbưng,mismatch
v00183,bưu,v00183.mp3,1998,từbu,mismatch
v00184,bươi,v00184.mp3,6569,bơi,mismatch
v00185,bươm,v00185.mp3,4971,từbướm,mismatch
v00186,bươn,v00186.mp3,3509,từbương,mismatch
v00187,bương,v00187.mp3,6211,từbương,mismatch
v00188,bươu,v00188.mp3,4800,bu,mismatch
v00189,bước,v00189.mp3,660,bức,mismatch
v00190,bướm,v00190.mp3,3435,bướm,ok
v00191,bướng,v00191.mp3,3736,từbướng,mismatch
v00192,bướu,v00192.mp3,2304,mứ,mismatch
v00193,bường,v00193.mp3,5577,bờ,mismatch
v00194,bưởi,v00194.mp3,2036,từbúi,mismatch
v00195,bưởng,v00195.mp3,6323,tưởng,mismatch
v00196,bạ,v00196.mp3,2382,từbã,mismatch
v00197,bạc,v00197.mp3,888,bạc,ok
v00198,bạch,v00198.mp3,1053,bật,mismatch
v00199,bại,v00199.mp3,1536,bảy,mismatch
v00200,bạn,v00200.mp3,110,bạn,ok
v00201,bạng,v00201.mp3,5276,từbản,mismatch
v00202,bạnh,v00202.mp3,6236,từbẩn,mismatch
v00203,bạo,v00203.mp3,1470,bảo,tone_mismatch
v00204,bạt,v00204.mp3,2294,bạc,mismatch
v00205,bả,v00205.mp3,3527,bàá,mismatch
v00206,bải,v00206.mp3,5561,bảy,mismatch
v00207,bảm,v00207.mp3,6110,từbám,mismatch
v00208,bản,v00208.mp3,180,bảng,mismatch
v00209,bảng,v00209.mp3,1244,bạn,mismatch
v00210,bảnh,v00210.mp3,3539,từbẩn,mismatch
v00211,bảo,v00211.mp3,147,bảo,ok
v00212,bảy,v00212.mp3,1668,từbảy,mismatch
v00213,bấc,v00213.mp3,5055,mất,mismatch
v00214,bấm,v00214.mp3,2153,bấm,ok
v00215,bấn,v00215.mp3,4537,từbẩn,mismatch
v00216,bấp,v00216.mp3,3304,bất,mismatch
v00217,bất,v00217.mp3,297,từbất,mismatch
v00218,bấu,v00218.mp3,4262,bấu,ok
v00219,bấy,v00219.mp3,2114,đấy,mismatch
v00220,bầm,v00220.mp3,2784,từbầm,mismatch
v00221,bần,v00221.mp3,3336,bưng,mismatch
v00222,bầu,v00222.mp3,799,từbầu,mismatch
v00223,bầy,v00223.mp3,3373,từbảy,mismatch
v00224,bẩm,v00224.mp3,2284,tắm,mismatch
v00225,bẩn,v00225.mp3,1810,từbẩn,mismatch
v00226,bẩu,v00226.mp3,6235,từbẩu,mismatch
v00227,bẩy,v00227.mp3,3342,bảy,mismatch
v00228,bẫm,v00228.mp3,4319,bẩm,tone_mismatch
v00229,bẫng,v00229.mp3,5849,bẩn,mismatch
v00230,bẫy,v00230.mp3,2242,từbẩy,mismatch
v00231,bậc,v00231.mp3,1153,bậc,ok
v00232,bận,v00232.mp3,1524,bận,ok
v00233,bập,v00233.mp3,3951,từbọc,mismatch
v00234,bật,v00234.mp3,1117,bậc,mismatch
v00235,bậu,v00235.mp3,5075,bầu,tone_mismatch
v00236,bậy,v00236.mp3,3107,bẩy,tone_mismatch
v00237,bắc,v00237.mp3,509,bắc,ok
v00238,bắn,v00238.mp3,1392,từbắn,mismatch
v00239,bắng,v00239.mp3,6032,từbấn,mismatch
v00240,bắp,v00240.mp3,1956,bất,mismatch
v00241,bắt,v00241.mp3,270,bắc,mismatch
v00242,bằm,v00242.mp3,4326,tửbom,mismatch
v00243,bằn,v00243.mp3,5865,bằng,mismatch
v00244,bằng,v00244.mp3,217,băng,tone_mismatch
v00245,bẳn,v00245.mp3,4915,từbẩn,mismatch
v00246,bẳng,v00246.mp3,5885,bắn,mismatch
v00247,bẵm,v00247.mp3,4656,bẩm,mismatch
v00248,bẵng,v00248.mp3,4247,bẩn,mismatch
v00249,bặc,v00249.mp3,5945,bạn,mismatch
v00250,bặm,v00250.mp3,3434,từbẩm,mismatch
v00251,bặt,v00251.mp3,3900,bậc,mismatch
v00252,bẹ,v00252.mp3,4071,bé,tone_mismatch
v00253,bẹn,v00253.mp3,4054,bệnh,mismatch
v00254,bẹo,v00254.mp3,6234,béo,tone_mismatch
v00255,bẹp,v00255.mp3,3289,bẹp,ok
v00256,bẹt,v00256.mp3,5157,bẻ,mismatch
v00257,bẻ,v00257.mp3,2715,từbé,mismatch
v00258,bẻo,v00258.mp3,6817,béo,tone_mismatch
v00259,bẽ,v00259.mp3,4139,từbé,mismatch
v00260,bẽn,v00260.mp3,4661,từbiển,mismatch
v00261,bẽo,v00261.mp3,4918,béo,tone_mismatch
v00262,bế,v00262.mp3,1787,bế,ok
v00263,bến,v00263.mp3,971,bến,ok
v00264,bếnh,v00264.mp3,6351,từbến,mismatch
v00265,bếp,v00265.mp3,1363,từbếp,mismatch
v00266,bết,v00266.mp3,3758,từbếp,mismatch
v00267,bề,v00267.mp3,1694,bê,tone_mismatch
v00268,bền,v00268.mp3,1270,bên,tone_mismatch
v00269,bềnh,v00269.mp3,3739,bệnh,tone_mismatch
v00270,bể,v00270.mp3,1814,từbể,mismatch
v00271,bển,v00271.mp3,6377,từbến,mismatch
v00272,bệ,v00272.mp3,3089,về,mismatch
v00273,bệch,v00273.mp3,5219,bật,mismatch
v00274,bện,v00274.mp3,4865,từbệnh,mismatch
v00275,bệnh,v00275.mp3,120,bẩn,mismatch
v00276,bệt,v00276.mp3,3696,từbể,mismatch
v00277,bỉ,v00277.mp3,2229,từbỉ,mismatch
v00278,bỉa,v00278.mp3,6947,bĩa,tone_mismatch
v00279,bỉm,v00279.mp3,3198,điểm,mismatch
v00280,bỉnh,v00280.mp3,3048,bĩnh,tone_mismatch
v00281,bỉu,v00281.mp3,4483,từbửu,mismatch
v00282,bị,v00282.mp3,38,từbỉ,mismatch
v00283,bịa,v00283.mp3,3234,từbỉ,mismatch
v00284,bịch,v00284.mp3,2939,từbình,mismatch
v00285,bịn,v00285.mp3,5074,cựbình,mismatch
v00286,bịnh,v00286.mp3,5381,mình,mismatch
v00287,bịp,v00287.mp3,4176,một,mismatch
v00288,bịt,v00288.mp3,2468,từbình,mismatch
v00289,bịu,v00289.mp3,3885,bộ,mismatch
v00290,bọ,v00290.mp3,2764,bỏ,tone_mismatch
v00291,bọc,v00291.mp3,1928,từbọc,mismatch
v00292,bọn,v00292.mp3,1610,từbọn,mismatch
v00293,bọng,v00293.mp3,4158,bổng,mismatch
v00294,bọt,v00294.mp3,2675,từbọc,mismatch
v00295,bỏ,v00295.mp3,389,bỏ,ok
v00296,bỏi,v00296.mp3,6087,từbởi,mismatch
v00297,bỏng,v00297.mp3,1520,bống,mismatch
v00298,bố,v00298.mp3,340,một,mismatch
v00299,bốc,v00299.mp3,1435,tốt,mismatch
v00300,bối,v00300.mp3,1310,bối,ok
v00301,bốn,v00301.mp3,1297,từbốn,mismatch
v00302,bống,v00302.mp3,4009,bống,ok
v00303,bốp,v00303.mp3,4940,từbúp,mismatch
v00304,bốt,v00304.mp3,3685,bố,mismatch
v00305,bồ,v00305.mp3,1870,từbồ,mismatch
v00306,bồi,v00306.mp3,1037,bôi,tone_mismatch
v00307,bồn,v00307.mp3,2054,từbôm,mismatch
v00308,bồng,v00308.mp3,2595,từbông,mismatch
v00309,bổ,v00309.mp3,735,từbổ,mismatch
v00310,bổi,v00310.mp3,5186,từbối,mismatch
v00311,bổn,v00311.mp3,3419,từbổn,mismatch
v00312,bổng,v00312.mp3,1389,từbóng,mismatch
v00313,bỗ,v00313.mp3,6049,bố,tone_mismatch
v00314,bỗng,v00314.mp3,1882,bống,tone_mismatch
v00315,bộ,v00315.mp3,51,từbộ,mismatch
v00316,bộc,v00316.mp3,2102,bộc,ok
v00317,bội,v00317.mp3,1843,bối,tone_mismatch
v00318,bộn,v00318.mp3,3196,bổng,mismatch
v00319,bộng,v00319.mp3,5927,cừbỗng,mismatch
v00320,bộp,v00320.mp3,5982,bộ,mismatch
v00321,bột,v00321.mp3,1340,một,mismatch
v00322,bớ,v00322.mp3,5275,bớt,mismatch
v00323,bới,v00323.mp3,2377,từbấy,mismatch
v00324,bớp,v00324.mp3,4700,mất,mismatch
v00325,bớt,v00325.mp3,1521,từbức,mismatch
v00326,bờ,v00326.mp3,1088,từbờ,mismatch
v00327,bời,v00327.mp3,3136,bơi,tone_mismatch
v00328,bờm,v00328.mp3,4231,bờm,ok
v00329,bở,v00329.mp3,3619,từbỏ,mismatch
v00330,bởi,v00330.mp3,453,từbởi,mismatch
v00331,bỡ,v00331.mp3,3282,từbể,mismatch
v00332,bỡn,v00332.mp3,5464,bẩn,mismatch
v00333,bợ,v00333.mp3,3335,từbờ,mismatch
v00334,bợm,v00334.mp3,5042,từbấm,mismatch
v00335,bợn,v00335.mp3,6612,bẩn,mismatch
v00336,bợt,v00336.mp3,6233,bờ,mismatch
v00337,bụ,v00337.mp3,4366,từbổ,mismatch
v00338,bụa,v00338.mp3,5618,búa,tone_mismatch
v00339,bục,v00339.mp3,3032,từbụng,mismatch
v00340,bụi,v00340.mp3,1705,từbuổi,mismatch
v00341,bụm,v00341.mp3,6490,tửvùng,mismatch
v00342,bụng,v00342.mp3,1219,từbụng,mismatch
v00343,bụp,v00343.mp3,5058,bộc,mismatch
v00344,bụt,v00344.mp3,4151,bụng,mismatch
v00345,bủa,v00345.mp3,3499,từbúa,mismatch
v00346,bủn,v00346.mp3,4580,từbủng,mismatch
v00347,bủng,v00347.mp3,6154,búng,tone_mismatch
v00348,bứa,v00348.mp3,5432,ứa,mismatch
v00349,bức,v00349.mp3,720,từbất,mismatch
v00350,bứng,v00350.mp3,4644,vẫn,mismatch
v00351,bứt,v00351.mp3,2795,từbức,mismatch
v00352,bứu,v00352.mp3,6770,nếu,mismatch
v00353,bừa,v00353.mp3,2786,bờ,mismatch
v00354,bừng,v00354.mp3,2834,bừ,mismatch
v00355,bửa,v00355.mp3,7182,bướp,mismatch
v00356,bửng,v00356.mp3,5884,vẫn,mismatch
v00357,bửu,v00357.mp3,2903,bổ,mismatch
v00358,bữa,v00358.mp3,1084,bữa,ok
v00359,bự,v00359.mp3,4403,từbờ,mismatch
v00360,bựa,v00360.mp3,5681,từbữa,mismatch
v00361,bực,v00361.mp3,2316,từbậc,mismatch
v00362,ca,v00362.mp3,385,ca,ok
v00363,cai,v00363.mp3,1393,cây,mismatch
v00364,cam,v00364.mp3,878,cam,ok
v00365,can,v00365.mp3,836,càng,mismatch
v00366,cang,v00366.mp3,2983,cán,mismatch
v00367,canh,v00367.mp3,1379,cánh,tone_mismatch
v00368,cao,v00368.mp3,103,cáo,tone_mismatch
v00369,cau,v00369.mp3,2709,cầu,mismatch
v00370,cay,v00370.mp3,1919,cây,mismatch
v00371,cha,v00371.mp3,734,cha,ok
v00372,chai,v00372.mp3,1495,trai,mismatch
v00373,cham,v00373.mp3,4986,trâm,mismatch
v00374,chan,v00374.mp3,2711,chăng,mismatch
v00375,chang,v00375.mp3,3223,trang,mismatch
v00376,chanh,v00376.mp3,1921,tranh,mismatch
v00377,chao,v00377.mp3,3144,chao,ok
v00378,chau,v00378.mp3,2243,châu,mismatch
v00379,chay,v00379.mp3,2228,chay,ok
v00380,che,v00380.mp3,1532,chè,tone_mismatch
v00381,chem,v00381.mp3,6659,chêm,mismatch
v00382,chen,v00382.mp3,2155,trinh,mismatch
v00383,cheng,v00383.mp3,4721,trên,mismatch
v00384,cheo,v00384.mp3,4067,treo,mismatch
v00385,chi,v00385.mp3,328,chi,ok
v00386,chia,v00386.mp3,341,chia,ok
v00387,chim,v00387.mp3,1632,kiếm,mismatch
v00388,chin,v00388.mp3,4473,trinh,mismatch
v00389,chinh,v00389.mp3,1646,trinh,mismatch
v00390,chiu,v00390.mp3,3804,chu,mismatch
v00391,chiêm,v00391.mp3,2299,chim,mismatch
v00392,chiên,v00392.mp3,2069,chiêng,mismatch
v00393,chiêng,v00393.mp3,3450,chiêng,ok
v00394,chiêu,v00394.mp3,1788,chiêu,ok
v00395,chiếc,v00395.mp3,412,chiếc,ok
v00396,chiếm,v00396.mp3,821,chiếm,ok
v00397,chiến,v00397.mp3,429,chiếu,mismatch
v00398,chiếng,v00398.mp3,5825,chín,mismatch
v00399,chiếp,v00399.mp3,6658,chết,mismatch
v00400,chiết,v00400.mp3,2176,triết,mismatch
v00401,chiếu,v00401.mp3,1089,chỉu,mismatch
v00402,chiền,v00402.mp3,4714,tiền,mismatch
v00403,chiềng,v00403.mp3,3500,truyền,mismatch
v00404,chiều,v00404.mp3,437,chiều,ok
v00405,chiểm,v00405.mp3,6153,chỉm,mismatch
v00406,chiển,v00406.mp3,5532,chuyển,mismatch
v00407,chiểu,v00407.mp3,2349,chiểu,ok
v00408,chiễn,v00408.mp3,6945,chỉnh,mismatch
v00409,chiệc,v00409.mp3,6488,chị,mismatch
v00410,chiện,v00410.mp3,5594,trịnh,mismatch
v00411,cho,v00411.mp3,8,cho,ok
v00412,choa,v00412.mp3,6210,choa,ok
v00413,choai,v00413.mp3,4970,roi,mismatch
v00414,choang,v00414.mp3,5064,choăn,mismatch
v00415,choay,v00415.mp3,6813,trây,mismatch
v00416,choe,v00416.mp3,5504,đólà,mismatch
v00417,choi,v00417.mp3,3508,trời,mismatch
v00418,chom,v00418.mp3,6455,trồng,mismatch
v00419,chon,v00419.mp3,5156,chân,mismatch
v00420,chong,v00420.mp3,3796,trông,mismatch
v00421,choong,v00421.mp3,5906,trông,mismatch
v00422,choàng,v00422.mp3,3418,toàn,mismatch
v00423,choá,v00423.mp3,6232,choác,mismatch
v00424,choán,v00424.mp3,4699,choáng,mismatch
v00425,choáng,v00425.mp3,2302,choáng,ok
v00426,choã,v00426.mp3,6944,từtrọa,mismatch
v00427,choè,v00427.mp3,5680,chè,mismatch
v00428,choé,v00428.mp3,4984,chế,mismatch
v00429,choóng,v00429.mp3,6695,chống,mismatch
v00430,choạc,v00430.mp3,5472,chắc,mismatch
v00431,choạng,v00431.mp3,3868,choảng,tone_mismatch
v00432,choảng,v00432.mp3,5132,choảng,ok
v00433,choắt,v00433.mp3,6298,rất,mismatch
v00434,choẹ,v00434.mp3,4832,trẻ,mismatch
v00435,choẹt,v00435.mp3,5724,truyện,mismatch
v00436,choọng,v00436.mp3,6031,trồng,mismatch
v00437,chu,v00437.mp3,1255,chú,tone_mismatch
v00438,chua,v00438.mp3,1550,chua,ok
v00439,chui,v00439.mp3,2152,rôi,mismatch
v00440,chum,v00440.mp3,3959,trump,mismatch
v00441,chun,v00441.mp3,3621,chung,mismatch
v00442,chung,v00442.mp3,392,trung,mismatch
v00443,chuyên,v00443.mp3,360,truyền,mismatch
v00444,chuyến,v00444.mp3,833,chuyến,ok
v00445,chuyền,v00445.mp3,1959,truyền,mismatch
v00446,chuyển,v00446.mp3,321,chuyển,ok
v00447,chuyện,v00447.mp3,334,truyện,mismatch
v00448,chuân,v00448.mp3,4301,trứng,mismatch
v00449,chuôi,v00449.mp3,5057,chui,mismatch
v00450,chuôm,v00450.mp3,7177,trung,mismatch
v00451,chuôn,v00451.mp3,6765,chuông,mismatch
v00452,chuông,v00452.mp3,2431,trung,mismatch
v00453,chuý,v00453.mp3,5137,trí,mismatch
v00454,chuẩn,v00454.mp3,486,chuẩn,ok
v00455,chuẫn,v00455.mp3,7179,trưởng,mismatch
v00456,chuốc,v00456.mp3,4389,trước,mismatch
v00457,chuối,v00457.mp3,1976,chúi,mismatch
v00458,chuốt,v00458.mp3,3605,trước,mismatch
v00459,chuồn,v00459.mp3,3668,đúng,mismatch
v00460,chuồng,v00460.mp3,2298,chuồng,ok
v00461,chuổi,v00461.mp3,7178,chuỗi,tone_mismatch
v00462,chuổng,v00462.mp3,6567,chúng,mismatch
v00463,chuỗi,v00463.mp3,1570,chuỗi,ok
v00464,chuộc,v00464.mp3,2862,chuộc,ok
v00465,chuộng,v00465.mp3,2066,trùng,mismatch
v00466,chuột,v00466.mp3,1927,chuộc,mismatch
v00467,chuỳ,v00467.mp3,5823,kỳ,mismatch
v00468,chà,v00468.mp3,2769,chà,ok
v00469,chài,v00469.mp3,3030,trai,mismatch
v00470,chàm,v00470.mp3,3129,chàm,ok
v00471,chàng,v00471.mp3,1111,trang,mismatch
v00472,chành,v00472.mp3,5081,chành,ok
v00473,chào,v00473.mp3,1129,chào,ok
v00474,chày,v00474.mp3,3609,chầy,mismatch
v00475,chá,v00475.mp3,4987,chả,tone_mismatch
v00476,chác,v00476.mp3,4420,chắc,mismatch
v00477,chái,v00477.mp3,5008,trái,mismatch
v00478,chám,v00478.mp3,6698,chám,ok
v00479,chán,v00479.mp3,1734,chán,ok
v00480,cháng,v00480.mp3,5981,trắng,mismatch
v00481,chánh,v00481.mp3,1218,tránh,mismatch
v00482,cháo,v00482.mp3,2127,cháu,mismatch
v00483,chát,v00483.mp3,2931,chắc,mismatch
v00484,cháu,v00484.mp3,532,cháu,ok
v00485,cháy,v00485.mp3,778,cháy,ok
v00486,châm,v00486.mp3,2043,trâm,mismatch
v00487,chân,v00487.mp3,559,trứng,mismatch
v00488,châu,v00488.mp3,571,châu,ok
v00489,chây,v00489.mp3,3577,chay,mismatch
v00490,chã,v00490.mp3,5218,chả,tone_mismatch
v00491,chãi,v00491.mp3,4092,trải,mismatch
v00492,chão,v00492.mp3,6610,chảo,tone_mismatch
v00493,chè,v00493.mp3,1969,chè,ok
v00494,chèm,v00494.mp3,5310,chèm,ok
v00495,chèn,v00495.mp3,2650,trên,mismatch
v00496,chèo,v00496.mp3,2237,chêu,mismatch
v00497,ché,v00497.mp3,5293,chế,mismatch
v00498,chém,v00498.mp3,1534,chém,ok
v00499,chén,v00499.mp3,2247,chín,mismatch
v00500,chéng,v00500.mp3,6322,chính,mismatch
v00501,chéo,v00501.mp3,2585,chéo,ok
v00502,chép,v00502.mp3,2082,chết,mismatch
v00503,chét,v00503.mp3,5404,chết,mismatch
v00504,chê,v00504.mp3,1987,dạ,mismatch
v00505,chêm,v00505.mp3,5405,chiêm,mismatch
v00506,chênh,v00506.mp3,1667,trên,mismatch
