id,target,target_clip_id,freq_rank,axis,target_feature,option_1,option_2,option_3,option_4,correct_option,difficulty,southern_merged
00058,đến,v06861,18,tone,sac,đến,đên,đễn,đền,1,hard,0
00059,đến,v06861,18,vowel,ê,đến,đén,điến,đón,1,hard,0
00060,đến,v06861,18,onset,đ,đến,bến,mến,nến,1,easy,0
00061,đến,v06861,18,final,n,đến,đế,đếm,đếu,1,easy,0
00062,về,v06203,19,tone,huyen,về,vệ,vê,vể,1,hard,0
00063,về,v06203,19,vowel,ê,về,vè,và,vì,1,medium,0
00064,về,v06203,19,onset,v,về,dề,đề,nghề,1,medium,0
00065,này,v03762,20,tone,huyen,này,nay,nảy,nạy,1,hard,0
00066,này,v03762,20,onset,n,này,lày,ngày,bày,1,medium,0
00067,này,v03762,20,final,y,này,nào,nàng,nành,1,easy,0
00068,tại,v05840,21,tone,nang,tại,tài,tái,tải,1,hard,0
00069,tại,v05840,21,onset,t,tại,lại,đại,hại,1,easy,0
00070,tại,v05840,21,final,i,tại,tạo,tạm,tạp,1,easy,0
00071,ở,v07066,22,tone,hoi,ở,ờ,ơ,ợ,1,medium,0
00072,ở,v07066,22,vowel,ơ,ở,ổ,ử,ủ,1,hard,0
00073,ở,v07066,22,onset,,ở,sở,trở,mở,1,easy,0
00074,cũng,v00838,23,tone,nga,cũng,cúng,cùng,cung,1,medium,0
00075,cũng,v00838,23,vowel,u,cũng,cưỡng,cõng,cẫng,1,easy,0
00076,cũng,v00838,23,onset,c,cũng,dũng,nhũng,vũng,1,easy,0
00077,tôi,v05797,24,tone,ngang,tôi,tối,tồi,tội,1,hard,0
00078,tôi,v05797,24,vowel,ô,tôi,tơi,tuôi,tai,1,hard,0
00079,tôi,v05797,24,onset,t,tôi,thôi,môi,đôi,1,medium,0
00080,tôi,v05797,24,final,i,tôi,tô,tôn,tông,1,easy,0
00081,ra,v04427,25,tone,ngang,ra,rà,rá,rã,1,hard,0
00082,ra,v04427,25,vowel,a,ra,ro,rô,ru,1,easy,0
00083,ra,v04427,25,onset,r,ra,gia,da,qua,1,hard,0
00084,ra,v04427,25,final,,ra,rau,ranh,rao,1,easy,0
00085,năm,v03833,26,tone,ngang,năm,nằm,nắm,nặm,1,hard,0
00086,năm,v03833,26,vowel,ă,năm,nam,niêm,nêm,1,medium,0
00087,năm,v03833,26,onset,n,năm,lăm,chăm,thăm,1,medium,0
00088,nhiều,v03446,27,tone,huyen,nhiều,nhiêu,nhiểu,nhiệu,1,hard,0
00089,nhiều,v03446,27,vowel,iê,nhiều,nhều,nhàu,nhìu,1,medium,0
00090,nhiều,v03446,27,onset,nh,nhiều,điều,chiều,kiều,1,easy,0
00091,từ,v05975,28,tone,huyen,từ,tư,tự,tử,1,hard,0
00092,từ,v05975,28,vowel,ư,từ,tờ,tù,tò,1,hard,0
00093,từ,v05975,28,onset,t,từ,thừ,trừ,cừ,1,medium,0
00094,việc,v06039,29,vowel,iê,việc,vực,vạc,vược,1,easy,0
00095,việc,v06039,29,onset,v,việc,diệc,tiệc,chiệc,1,medium,0
00096,đồng,v06906,30,tone,huyen,đồng,động,đông,đổng,1,hard,0
00097,đồng,v06906,30,vowel,ô,đồng,đòng,đường,đừng,1,medium,0
00098,đồng,v06906,30,onset,đ,đồng,chồng,hồng,trồng,1,easy,0
00099,đồng,v06906,30,final,ng,đồng,đồn,đồ,đồi,1,medium,0
00100,nhà,v03490,31,tone,huyen,nhà,nha,nhạ,nhả,1,hard,0
00101,nhà,v03490,31,vowel,a,nhà,nhờ,nhì,nhừ,1,easy,0
00102,nhà,v03490,31,onset,nh,nhà,và,là,mà,1,easy,0
00103,nhà,v03490,31,final,,nhà,nhàng,nhàn,nhào,1,easy,0
00104,làm,v02488,32,tone,huyen,làm,lam,lạm,lảm,1,hard,0
00105,làm,v02488,32,vowel,a,làm,lầm,lùm,liềm,1,easy,0
00106,làm,v02488,32,onset,l,làm,đàm,hàm,tràm,1,easy,0
00107,làm,v02488,32,final,m,làm,là,làng,lào,1,easy,0
00108,đó,v06747,33,tone,sac,đó,đo,đọ,đõ,1,hard,0
00109,đó,v06747,33,vowel,o,đó,đố,đá,đứa,1,medium,0
00110,đó,v06747,33,onset,đ,đó,có,khó,phó,1,easy,0
00111,đó,v06747,33,final,,đó,đóng,đón,đóm,1,easy,0
00112,hiện,v01675,34,tone,nang,hiện,hiến,hiền,hiển,1,hard,0
00113,hiện,v01675,34,vowel,iê,hiện,hện,hạn,hẹn,1,medium,0
00114,hiện,v01675,34,onset,h,hiện,viện,điện,diện,1,easy,0
00115,hiện,v01675,34,final,n,hiện,hiệu,hiệp,hiệt,1,easy,0
00116,ông,v06601,35,tone,ngang,ông,ống,ồng,ổng,1,hard,0
00117,ông,v06601,35,vowel,ô,ông,ong,uông,ương,1,hard,0
00118,ông,v06601,35,onset,,ông,không,công,thông,1,easy,0
00119,ông,v06601,35,final,ng,ông,ôn,ô,ôm,1,medium,0
00120,vào,v06066,36,tone,huyen,vào,vao,vảo,váo,1,hard,0
00121,vào,v06066,36,onset,v,vào,dào,nào,đào,1,medium,0
00122,vào,v06066,36,final,o,vào,và,vàng,vài,1,easy,0
00123,học,v01941,37,vowel,o,học,hộc,hạc,hục,1,medium,0
00124,học,v01941,37,onset,h,học,ngọc,đọc,lọc,1,easy,0
00125,học,v01941,37,final,c,học,họt,họ,họp,1,medium,0
00126,bị,v00282,38,tone,nang,bị,bí,bì,bi,1,hard,0
00127,bị,v00282,38,vowel,i,bị,bộ,bạ,bọ,1,easy,0
00128,bị,v00282,38,onset,b,bị,thị,chị,vị,1,easy,0
00129,bị,v00282,38,final,,bị,bịt,bịch,bịu,1,easy,0
00130,trên,v05524,39,vowel,ê,trên,triên,tren,tran,1,hard,0
00131,trên,v05524,39,onset,tr,trên,nên,lên,bên,1,easy,0
00132,thể,v05306,40,tone,hoi,thể,thề,thế,thệ,1,medium,0
00133,thể,v05306,40,vowel,ê,thể,thẻ,thủ,thử,1,medium,0
00134,thể,v05306,40,onset,th,thể,tể,để,kể,1,medium,0
00135,theo,v05053,41,tone,ngang,theo,théo,thẹo,thẻo,1,medium,0
00136,theo,v05053,41,onset,th,theo,teo,treo,heo,1,medium,0
00137,theo,v05053,41,final,o,theo,the,then,them,1,easy,0
00138,trường,v05573,42,tone,huyen,trường,trưởng,trương,trượng,1,hard,0
00139,trường,v05573,42,vowel,ươ,trường,trồng,trùng,tràng,1,easy,0
00140,trường,v05573,42,onset,tr,trường,chường,đường,thường,1,medium,0
00141,như,v03575,43,tone,ngang,như,nhừ,nhữ,nhử,1,medium,0
00142,như,v03575,43,vowel,ư,như,nhu,nhơ,nhi,1,hard,0
00143,như,v03575,43,onset,nh,như,tư,thư,sư,1,easy,0
00144,ngày,v03263,44,onset,ng,ngày,này,bày,dày,1,easy,0
00145,ngày,v03263,44,final,y,ngày,ngành,ngàn,ngào,1,easy,0
00146,anh,v00006,45,tone,ngang,anh,ánh,ành,ảnh,1,hard,0
00147,anh,v00006,45,onset,,anh,thanh,danh,tranh,1,easy,0
00148,anh,v00006,45,final,nh,anh,an,ang,ai,1,hard,0
00149,đầu,v06824,46,tone,huyen,đầu,đâu,đậu,đẩu,1,hard,0
00150,đầu,v06824,46,vowel,â,đầu,điều,đều,đìu,1,easy,0
00151,đầu,v06824,46,onset,đ,đầu,cầu,dầu,bầu,1,easy,0
00152,đầu,v06824,46,final,u,đầu,đầy,đầm,đần,1,easy,0
00153,nước,v03846,47,vowel,ươ,nước,nức,nóc,nấc,1,easy,0
00154,nước,v03846,47,onset,n,nước,trước,bước,ước,1,easy,0
00155,phải,v04143,48,tone,hoi,phải,phài,phái,phai,1,medium,0
00156,phải,v04143,48,onset,ph,phải,giải,hải,tải,1,easy,0
00157,phải,v04143,48,final,i,phải,phản,phả,phảng,1,easy,0
00158,thành,v05146,49,tone,huyen,thành,thanh,thạnh,thảnh,1,hard,0
00159,thành,v05146,49,onset,th,thành,tành,hành,ngành,1,medium,0
00160,thành,v05146,49,final,nh,thành,thàng,thàn,thà,1,hard,0
00161,định,v06883,50,tone,nang,định,đình,đính,đinh,1,hard,0
00162,định,v06883,50,onset,đ,định,trịnh,thịnh,vịnh,1,easy,0
00163,định,v06883,50,final,nh,định,địch,địu,đị,1,easy,0
00164,bộ,v00315,51,tone,nang,bộ,bố,bồ,bổ,1,hard,0
00165,bộ,v00315,51,vowel,ô,bộ,bọ,bợ,bị,1,hard,0
00166,bộ,v00315,51,onset,b,bộ,độ,hộ,lộ,1,easy,0
00167,bộ,v00315,51,final,,bộ,bột,bội,bộc,1,easy,0
00168,nhân,v03511,52,tone,ngang,nhân,nhấn,nhận,nhẫn,1,medium,0
00169,nhân,v03511,52,vowel,â,nhân,nhơn,nhiên,nhan,1,medium,0
00170,nhân,v03511,52,onset,nh,nhân,dân,thân,ngân,1,easy,0
00171,sẽ,v04938,53,tone,nga,sẽ,sẻ,se,sè,1,easy,1
00172,sẽ,v04938,53,vowel,e,sẽ,sĩ,sữa,sỹ,1,easy,0
00173,sẽ,v04938,53,onset,s,sẽ,lẽ,mẽ,chẽ,1,easy,0
00174,gia,v01353,54,tone,ngang,gia,giá,già,gía,1,hard,0
00175,gia,v01353,54,vowel,a,gia,giơ,gio,giê,1,easy,0
00176,gia,v01353,54,onset,gi,gia,ra,da,qua,1,hard,0
00177,gia,v01353,54,final,,gia,giao,gian,giang,1,easy,0
00178,quan,v04305,55,tone,ngang,quan,quán,quàn,quản,1,hard,0
00179,quan,v04305,55,vowel,a,quan,quăn,quân,quen,1,medium,0
00180,quan,v04305,55,onset,qu,quan,an,gian,ban,1,easy,0
00181,quan,v04305,55,final,n,quan,quang,quanh,qua,1,hard,0
00182,sự,v05022,56,tone,nang,sự,sứ,sừ,sử,1,hard,0
00183,sự,v05022,56,vowel,ư,sự,sợ,sụ,sọ,1,hard,0
00184,sự,v05022,56,onset,s,sự,xự,dự,tự,1,medium,0
00185,nam,v03131,57,vowel,a,nam,năm,niêm,nêm,1,medium,0
00186,nam,v03131,57,onset,n,nam,lam,tham,cam,1,medium,0
00187,nam,v03131,57,final,m,nam,nay,nai,na,1,easy,0
00188,lại,v02619,58,tone,nang,lại,lái,lài,lai,1,hard,0
00189,lại,v02619,58,onset,l,lại,nại,tại,đại,1,medium,0
00190,lại,v02619,58,final,i,lại,lạc,lạnh,lạ,1,easy,0
00191,chỉ,v00662,59,tone,hoi,chỉ,chì,chị,chí,1,medium,0
00192,chỉ,v00662,59,vowel,i,chỉ,chủ,chở,chả,1,easy,0
00193,chỉ,v00662,59,onset,ch,chỉ,trỉ,nghỉ,tỉ,1,medium,0
00194,số,v04965,60,tone,sac,số,sô,sộ,sỗ,1,hard,0
00195,số,v04965,60,vowel,ô,số,sớ,só,sứ,1,hard,0
00196,số,v04965,60,onset,s,số,xố,phố,bố,1,medium,0
00197,số,v04965,60,final,,số,sống,sốt,sốc,1,easy,0
00198,hàng,v01764,61,tone,huyen,hàng,hạng,hang,hảng,1,hard,0
00199,hàng,v01764,61,vowel,a,hàng,hằng,hồng,hùng,1,medium,0
00200,hàng,v01764,61,onset,h,hàng,vàng,càng,làng,1,easy,0
00201,hàng,v01764,61,final,ng,hàng,hành,hàn,hà,1,hard,0
00202,con,v00744,62,tone,ngang,con,còn,cón,cỏn,1,hard,0
00203,con,v00744,62,vowel,o,con,côn,căn,can,1,medium,0
00204,con,v00744,62,onset,c,con,kon,ngon,non,1,medium,0
00205,con,v00744,62,final,n,con,cong,co,com,1,medium,0
00206,sinh,v04741,63,onset,s,sinh,xinh,kinh,minh,1,medium,0
00207,sinh,v04741,63,final,nh,sinh,sin,sim,si,1,medium,0
00208,động,v06917,64,tone,nang,động,đồng,đống,đông,1,hard,0
00209,động,v06917,64,vowel,ô,động,đọng,đặng,đựng,1,medium,0
00210,động,v06917,64,onset,đ,động,cộng,rộng,mộng,1,easy,0
00211,động,v06917,64,final,ng,động,độn,độ,đội,1,medium,0
00212,sau,v04730,65,vowel,a,sau,sâu,siêu,sưu,1,easy,0
00213,sau,v04730,65,onset,s,sau,nhau,đau,rau,1,easy,0
00214,sau,v04730,65,final,u,sau,sao,sang,sai,1,easy,0
00215,điều,v06652,66,tone,huyen,điều,điệu,điêu,điểu,1,hard,0
00216,điều,v06652,66,vowel,iê,điều,đều,đầu,đìu,1,medium,0
00217,điều,v06652,66,onset,đ,điều,nhiều,chiều,kiều,1,easy,0
00218,chính,v00517,67,tone,sac,chính,chinh,chĩnh,chỉnh,1,hard,0
00219,chính,v00517,67,onset,ch,chính,trính,tính,kính,1,medium,0
00220,chính,v00517,67,final,nh,chính,chín,chí,chích,1,medium,0
00221,dân,v01097,68,tone,ngang,dân,dần,dấn,dẫn,1,hard,0
00222,dân,v01097,68,vowel,â,dân,dơn,dan,diên,1,medium,0
00223,dân,v01097,68,onset,d,dân,vân,rân,nhân,1,hard,0
00224,dân,v01097,68,final,n,dân,dâng,dây,dâu,1,medium,0
00225,cơ,v00839,69,tone,ngang,cơ,cờ,cớ,cỡ,1,hard,0
00226,cơ,v00839,69,vowel,ơ,cơ,cô,cư,ca,1,hard,0
00227,cơ,v00839,69,onset,c,cơ,sơ,thơ,mơ,1,easy,0
00228,cơ,v00839,69,final,,cơ,cơm,cơn,cơi,1,easy,0
00229,nhưng,v03577,70,tone,ngang,nhưng,nhừng,nhứng,những,1,hard,0
00230,nhưng,v03577,70,vowel,ư,nhưng,nhung,nhang,nhăng,1,medium,0
00231,nhưng,v03577,70,onset,nh,nhưng,hưng,trưng,lưng,1,easy,0
00232,việt,v06041,71,vowel,iê,việt,vệt,vật,vượt,1,medium,0
00233,việt,v06041,71,onset,v,việt,diệt,biệt,nhiệt,1,medium,0
00234,đi,v06636,72,tone,ngang,đi,đì,đĩ,đị,1,medium,0
00235,đi,v06636,72,vowel,i,đi,đưa,đa,đô,1,easy,0
00236,đi,v06636,72,onset,đ,đi,khi,thi,vi,1,easy,0
00237,quốc,v04411,73,vowel,ô,quốc,quóc,quắc,quấc,1,medium,0
00238,quốc,v04411,73,onset,qu,quốc,đốc,tốc,gốc,1,easy,0
00239,thì,v05181,74,tone,huyen,thì,thị,thi,thỉ,1,hard,0
00240,thì,v05181,74,vowel,i,thì,thừa,thù,thờ,1,easy,0
00241,thì,v05181,74,onset,th,thì,tì,vì,gì,1,medium,0
00242,thì,v05181,74,final,,thì,thìn,thình,thìm,1,easy,0
00243,còn,v00798,75,tone,huyen,còn,con,cỏn,cọn,1,hard,0
00244,còn,v00798,75,vowel,o,còn,cồn,cần,cằn,1,medium,0
00245,còn,v00798,75,onset,c,còn,gòn,tròn,hòn,1,easy,0
00246,còn,v00798,75,final,n,còn,còng,cò,còm,1,medium,0
00247,biết,v00037,76,vowel,iê,biết,bết,bắt,bất,1,medium,0
00248,biết,v00037,76,onset,b,biết,thiết,tiết,viết,1,easy,0
00249,biết,v00037,76,final,t,biết,biếc,biến,biếu,1,medium,0
00250,hội,v01968,77,tone,nang,hội,hồi,hối,hôi,1,hard,0
00251,hội,v01968,77,vowel,ô,hội,hợi,huội,hại,1,hard,0
00252,hội,v01968,77,onset,h,hội,nội,đội,tội,1,easy,0
00253,hội,v01968,77,final,i,hội,hộ,hộp,hột,1,easy,0
00254,hơn,v01857,78,tone,ngang,hơn,hờn,hớn,hởn,1,hard,0
00255,hơn,v01857,78,vowel,ơ,hơn,hôn,hân,hươn,1,hard,0
00256,hơn,v01857,78,onset,h,hơn,đơn,sơn,ơn,1,easy,0
00257,thời,v05341,79,tone,huyen,thời,thơi,thởi,thới,1,hard,0
00258,thời,v05341,79,onset,th,thời,tời,lời,đời,1,medium,0
00259,thông,v05209,80,vowel,ô,thông,thong,thuông,thương,1,hard,0
00260,thông,v05209,80,onset,th,thông,tông,không,công,1,medium,0
00261,thông,v05209,80,final,ng,thông,thôn,thôi,thô,1,medium,0
00262,an,v00004,81,tone,ngang,an,án,àn,ản,1,hard,0
00263,an,v00004,81,vowel,a,an,ăn,yên,ơn,1,medium,0
00264,an,v00004,81,onset,,an,quan,gian,ban,1,easy,0
00265,an,v00004,81,final,n,an,anh,ang,ai,1,hard,0
00266,trung,v05473,82,tone,ngang,trung,trúng,trùng,trũng,1,hard,0
00267,trung,v05473,82,vowel,u,trung,trưng,trong,trang,1,medium,0
00268,trung,v05473,82,onset,tr,trung,chung,dung,cung,1,medium,0
00269,trung,v05473,82,final,ng,trung,trun,tru,trum,1,medium,0
00270,vụ,v06250,83,tone,nang,vụ,vú,vù,vũ,1,hard,0
00271,vụ,v06250,83,vowel,u,vụ,vự,vị,vợ,1,medium,0
00272,vụ,v06250,83,onset,v,vụ,dụ,phụ,cụ,1,medium,0
00273,vụ,v06250,83,final,,vụ,vụn,vụng,vụt,1,easy,0
00274,giá,v01380,84,tone,sac,giá,gia,giã,giạ,1,hard,0
00275,giá,v01380,84,vowel,a,giá,gió,gía,gié,1,easy,0
00276,giá,v01380,84,onset,gi,giá,rá,quá,cá,1,medium,0
00277,giá,v01380,84,final,,giá,giáo,giám,giác,1,easy,0
00278,viên,v06030,85,tone,ngang,viên,viền,viện,viễn,1,medium,0
00279,viên,v06030,85,vowel,iê,viên,vên,văn,vân,1,medium,0
00280,viên,v06030,85,onset,v,viên,diên,liên,nhiên,1,medium,0
00281,thực,v05367,86,vowel,ư,thực,thục,thuộc,thạc,1,medium,0
00282,thực,v05367,86,onset,th,thực,tực,lực,vực,1,medium,0
00283,lý,v02582,87,tone,sac,lý,ly,lỵ,lỹ,1,hard,0
00284,lý,v02582,87,vowel,y,lý,lá,lúa,lí,1,easy,0
00285,lý,v02582,87,onset,l,lý,ý,ký,quý,1,easy,0
00286,phát,v04072,88,vowel,a,phát,phắt,phút,phớt,1,medium,0
00287,phát,v04072,88,onset,ph,phát,sát,hát,cát,1,easy,0
00288,phát,v04072,88,final,t,phát,phác,phách,pháp,1,hard,0
00289,nên,v03793,89,tone,ngang,nên,nền,nến,nện,1,hard,0
00290,nên,v03793,89,vowel,ê,nên,niên,nen,non,1,hard,0
00291,nên,v03793,89,onset,n,nên,lên,trên,bên,1,medium,0
00292,nên,v03793,89,final,n,nên,nênh,nêu,nêm,1,medium,0
00293,nhận,v03615,90,tone,nang,nhận,nhấn,nhân,nhẫn,1,medium,0
00294,nhận,v03615,90,vowel,â,nhận,nhọn,nhộn,nhịn,1,easy,0
00295,nhận,v03615,90,onset,nh,nhận,quận,vận,tận,1,easy,0
00296,nhận,v03615,90,final,n,nhận,nhập,nhật,nhậu,1,easy,0
00297,hành,v01765,91,tone,huyen,hành,hạnh,hanh,hảnh,1,hard,0
00298,hành,v01765,91,onset,h,hành,thành,ngành,dành,1,easy,0
00299,hành,v01765,91,final,nh,hành,hàng,hàn,hà,1,hard,0
00300,nhất,v03604,92,vowel,â,nhất,nhớt,nhát,nhốt,1,medium,0
00301,nhất,v03604,92,onset,nh,nhất,rất,chất,đất,1,easy,0
00302,nhất,v03604,92,final,t,nhất,nhấc,nhấn,nhấp,1,medium,0
00303,chủ,v00717,93,tone,hoi,chủ,chù,chú,chu,1,medium,0
00304,chủ,v00717,93,vowel,u,chủ,chử,chỉ,chở,1,medium,0
00305,chủ,v00717,93,onset,ch,chủ,thủ,đủ,phủ,1,easy,0
00306,hợp,v01986,94,vowel,ơ,hợp,hộp,hập,hiệp,1,hard,0
00307,hợp,v01986,94,onset,h,hợp,lợp,ngợp,chợp,1,easy,0
00308,hợp,v01986,94,final,p,hợp,hợi,hợt,hợm,1,easy,0
00309,rất,v04608,95,vowel,â,rất,rớt,rút,rét,1,medium,0
00310,rất,v04608,95,onset,r,rất,dất,nhất,chất,1,medium,0
00311,rất,v04608,95,final,t,rất,rấm,rấy,rấn,1,easy,0
00312,mình,v02919,96,tone,huyen,mình,minh,mịnh,mính,1,hard,0
00313,mình,v02919,96,onset,m,mình,trình,hình,tình,1,easy,0
00314,mình,v02919,96,final,nh,mình,mìn,mì,mìu,1,medium,0
00315,đang,v06626,97,tone,ngang,đang,đáng,đàng,đảng,1,hard,0
00316,đang,v06626,97,vowel,a,đang,đăng,đông,đương,1,medium,0
00317,đang,v06626,97,onset,đ,đang,trang,mang,sang,1,easy,0
00318,đang,v06626,97,final,ng,đang,đan,đanh,đa,1,hard,0
00319,qua,v04303,98,tone,ngang,qua,quá,quà,qúa,1,hard,0
00320,qua,v04303,98,vowel,a,qua,quy,quê,qui,1,easy,0
00321,qua,v04303,98,onset,qu,qua,ra,gia,tra,1,easy,0
00322,qua,v04303,98,final,,qua,quan,quang,quay,1,easy,0
00323,xe,v06279,99,tone,ngang,xe,xé,xè,xẻ,1,hard,0
00324,xe,v06279,99,vowel,e,xe,xê,xa,xu,1,medium,0
00325,xe,v06279,99,onset,x,xe,se,nghe,the,1,medium,0
00326,xe,v06279,99,final,,xe,xem,xen,xeo,1,easy,0
00327,văn,v06127,100,tone,ngang,văn,vằn,vắn,vặn,1,hard,0
00328,văn,v06127,100,vowel,ă,văn,van,viên,vân,1,medium,0
00329,văn,v06127,100,onset,v,văn,ăn,căn,khăn,1,easy,0
00330,trước,v05570,101,vowel,ươ,trước,trúc,trắc,tróc,1,easy,0
00331,trước,v05570,101,onset,tr,trước,chước,nước,bước,1,medium,0
00332,do,v01035,102,tone,ngang,do,dò,dó,dỏ,1,hard,0
00333,do,v01035,102,vowel,o,do,dô,du,di,1,medium,0
00334,do,v01035,102,onset,d,do,ro,vo,gio,1,hard,0
00335,do,v01035,102,final,,do,dong,don,dom,1,easy,0
00336,cao,v00368,103,tone,ngang,cao,cáo,cào,cạo,1,hard,0
00337,cao,v00368,103,onset,c,cao,giao,bao,sao,1,easy,0
00338,cao,v00368,103,final,o,cao,ca,can,cam,1,easy,0
00339,mới,v03092,104,tone,sac,mới,mơi,mợi,mời,1,hard,0
00340,mới,v03092,104,vowel,ơ,mới,mối,mái,muối,1,medium,0
00341,mới,v03092,104,onset,m,mới,với,tới,giới,1,easy,0
00342,mới,v03092,104,final,i,mới,mớ,mớm,mớn,1,easy,0
00343,trình,v05527,105,tone,huyen,trình,trinh,trịnh,trĩnh,1,hard,0
00344,trình,v05527,105,onset,tr,trình,chình,mình,hình,1,medium,0
00345,cùng,v00821,106,tone,huyen,cùng,cung,củng,cụng,1,hard,0
00346,cùng,v00821,106,vowel,u,cùng,càng,cường,cuồng,1,easy,0
00347,cùng,v00821,106,onset,c,cùng,dùng,vùng,hùng,1,easy,0
00348,cùng,v00821,106,final,ng,cùng,cùn,cù,cùm,1,medium,0
00349,mà,v02873,107,tone,huyen,mà,ma,mạ,mả,1,hard,0
00350,mà,v02873,107,vowel,a,mà,mùa,mì,mù,1,easy,0
00351,mà,v02873,107,onset,m,mà,và,là,nhà,1,easy,0
00352,mà,v02873,107,final,,mà,màu,màn,mày,1,easy,0
00353,đại,v06804,108,tone,nang,đại,đài,đái,đãi,1,hard,0
00354,đại,v06804,108,onset,đ,đại,tại,lại,hại,1,easy,0
00355,đại,v06804,108,final,i,đại,đạo,đạt,đạp,1,easy,0
00356,vì,v06098,109,tone,huyen,vì,vị,vi,vỉ,1,hard,0
00357,vì,v06098,109,vowel,i,vì,và,về,vừa,1,easy,0
00358,vì,v06098,109,onset,v,vì,dì,thì,gì,1,medium,0
00359,bạn,v00200,110,tone,nang,bạn,bán,bàn,bản,1,hard,0
00360,bạn,v00200,110,vowel,a,bạn,biện,bận,bọn,1,easy,0
00361,bạn,v00200,110,onset,b,bạn,nạn,hạn,sạn,1,easy,0
